id,estvide,datecreation
1,false,12/2/2024
2,false,2/4/2025
3,true,3/21/2024
4,true,5/23/2024
5,true,7/10/2024
6,false,8/24/2024
7,true,8/19/2024
8,false,8/27/2024
9,true,7/2/2024
10,true,10/4/2024
11,true,11/22/2024
12,false,12/22/2024
13,false,5/17/2024
14,true,3/14/2024
15,true,6/14/2024
16,true,1/19/2025
17,true,5/7/2024
18,true,3/25/2024
19,false,3/21/2024
20,false,5/12/2024
21,false,4/22/2024
22,true,3/27/2024
23,true,3/19/2024
24,true,10/13/2024
25,true,1/18/2025
26,false,11/19/2024
27,false,2/8/2025
28,true,5/8/2024
29,false,10/14/2024
30,false,9/21/2024
31,true,9/27/2024
32,true,4/30/2024
33,false,12/15/2024
34,true,11/14/2024
35,true,1/26/2025
36,false,1/12/2025
37,true,12/22/2024
38,true,8/21/2024
39,true,2/27/2025
40,true,5/24/2024
41,false,11/17/2024
42,false,2/18/2025
43,true,1/19/2025
44,true,2/6/2025
45,false,4/4/2024
46,true,5/18/2024
47,true,3/20/2024
48,true,7/31/2024
49,true,12/2/2024
50,false,11/3/2024
51,true,8/16/2024
52,false,9/9/2024
53,false,10/15/2024
54,true,4/12/2024
55,false,1/31/2025
56,false,11/27/2024
57,false,1/11/2025
58,true,10/10/2024
59,true,3/17/2024
60,false,5/26/2024
61,false,4/16/2024
62,false,2/26/2025
63,false,6/4/2024
64,true,7/1/2024
65,true,8/16/2024
66,false,8/20/2024
67,true,12/7/2024
68,false,10/7/2024
69,true,3/26/2024
70,true,11/19/2024
71,true,4/30/2024
72,true,1/26/2025
73,false,7/27/2024
74,false,8/23/2024
75,true,6/9/2024
76,true,2/2/2025
77,true,10/15/2024
78,true,9/12/2024
79,false,11/9/2024
80,false,6/16/2024
81,false,7/22/2024
82,true,2/19/2025
83,true,8/21/2024
84,true,9/30/2024
85,true,4/3/2024
86,false,9/1/2024
87,true,1/4/2025
88,false,10/5/2024
89,false,4/28/2024
90,true,3/28/2024
91,true,9/3/2024
92,true,6/30/2024
93,false,7/4/2024
94,true,8/14/2024
95,false,2/3/2025
96,true,2/18/2025
97,true,7/5/2024
98,true,11/3/2024
99,false,2/11/2025
100,false,8/6/2024
101,true,10/1/2024
102,false,1/8/2025
103,false,11/11/2024
104,true,10/22/2024
105,false,7/1/2024
106,true,2/3/2025
107,true,7/23/2024
108,false,11/4/2024
109,false,3/1/2025
110,false,4/26/2024
111,false,3/29/2024
112,false,12/4/2024
113,true,3/29/2024
114,true,11/22/2024
115,false,3/9/2024
116,false,4/18/2024
117,true,5/13/2024
118,true,5/19/2024
119,true,5/18/2024
120,false,6/13/2024
121,false,10/14/2024
122,true,2/23/2025
123,true,4/28/2024
124,true,3/13/2024
125,true,3/13/2024
126,false,10/24/2024
127,true,8/6/2024
128,true,9/12/2024
