id_camion,plaque d'immatriculation
1,3530352489656726
2,3557555911556722
3,3573209941510255
4,30337297145369
5,4903298485024638772
6,30066331147806
7,3573266329191876
8,3537527985047909
9,5038342306633174
10,3571516400999577
11,3555177090560284
12,3567953527840788
13,374622864278741
14,5602235205572632
15,3543525712290596
16,3576393139722711
17,30326519029535
18,3589031871826887
19,5602227326417821
20,3580847262928803
21,3552755641351015
22,3528656341481048
23,5602222004849197
24,3585668906706479
25,5038950623742765
26,5602252010884854
27,3583779374094389
28,5602252997736150
29,373605411057800
30,6334512639995333237
31,5048372410205559
32,3554060321172593
33,50185527096663087
34,3533825540254059
35,3564373587139026
36,4905511396978984169
37,3552757290908525
38,3546755444749984
39,3535938556446440
40,3542151998530836
41,3558906920961289
42,6767591622239924701
43,3568694850109198
44,676306242484070400
45,4041373460989
46,6373403593412416
47,377915858023611
48,3555065797419294
49,3538861945807691
50,4913641959944140
51,3558324271936605
52,3547383132551221
53,3548722784286645
54,3560629448070385
55,5602250866697057
56,4936873418193078754
57,3580638306600445
58,5007662102914677
59,5292959291043597
60,3549507193054844
61,5610170194043651
62,376054832693900
63,3558466338890935
64,5194817966241665
65,374283838674067
66,30253333320587
67,5100137636803999
68,493636323877525969
69,5048371933994640
70,30165736998217
71,58937748454642950
72,670915805628702751
73,3589503381039896
74,3556973897407433
75,3548391289444123
76,201706932286940
77,3531283583539618
78,3567492252468812
79,060488942548562931
80,3551398636032752
81,4905706651085375817
82,201466882954753
83,30004590357337
84,3564832158766210
85,30333983976308
86,3561363020125859
87,3563134789076049
88,4017959282263847
89,060461298628523769
90,3537632171181445
91,3565371974573673
92,5602250082143536681
93,3538322282935173
94,3562415303266112
95,5602252379183336
96,3566333190447206
97,0604298469744439701
98,6759817049405803
99,5010129520461389
100,3564653911718904
101,490386415061267719
102,374622756666946
103,3570323787000439
104,5002351410581783
105,4702605667887
106,6397590752798833
107,372806677105041
108,3561139002148162
109,5108750164538860
110,633449702539756195
111,3585157214100609
112,67094839403013284
113,56109972173100597
114,30509936243124
115,4913409858926372
116,36329520932246
117,3584673720916271
118,3540249289938486
